"COD_AREA_KPI__C","CONDIZIONEMAGGIOREDI__C","CREATEDBYID","CREATEDDATE","ID","ISDELETED","KPI__C","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","ORDINE__C","OWNERID","SYSTEMMODSTAMP"
"a0i0E00000ER9U1QAL","75.0","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FkQAL","false","Perf. NPS","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000019","19.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TxQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FUQA1","false","Customer Retention","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000003","3.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TyQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FYQA1","false","Gestione dati clienti (GDPR)","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000007","7.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TxQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FVQA1","false","Certificazione TSM","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000004","4.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TwQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FSQA1","false","Managers of Tomorrow","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000001","1.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9U0QAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FgQAL","false","Lexus Experience","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000015","15.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TzQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FbQAL","false","VCA","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000010","10.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TwQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FTQA1","false","Employee Engagement Survey","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000002","2.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9U1QAL","80.0","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FiQAL","false","Perf. A/S","","0050Y000000NtQOQA0","2021-04-14T09:59:02.000Z","","","KPI-0000017","17.0","0050Y000000NtQOQA0","2021-04-14T09:59:02.000Z"
"a0i0E00000ER9TyQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FaQAL","false","Qualità dati clienti (GDPR)","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000009","5.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TxQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FWQA1","false","Certificazione LSM","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000005","3.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TyQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FXQA1","false","Gestione Lead entro 1h","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000006","6.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TzQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FcQAL","false","We Hybrid Insurance (on eligible model)","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000011","11.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TzQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FeQAL","false","Performance KINTO ONE","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000013","13.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TzQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FfQAL","false","Back to Back (Rinnovi del nuovo TCM)","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000014","14.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9U1QAL","95.0","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FhQAL","false","Perf. Sales","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000016","16.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TzQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FdQAL","false","Penetrazione LIM","","0050Y000000NtQOQA0","2021-04-14T09:50:54.000Z","","","KPI-0000012","11.0","0050Y000000NtQOQA0","2021-04-14T09:50:54.000Z"
"a0i0E00000ER9U1QAL","75.0","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FjQAL","false","Perf. Veicoli Commerciali","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000018","18.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
"a0i0E00000ER9TyQAL","","0050Y000000NtQOQA0","2021-04-09T15:19:12.000Z","a0j0E00000BM8FZQA1","false","CR da Lead","","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z","","","KPI-0000008","4.0","0050Y000000NtQOQA0","2021-04-09T15:22:40.000Z"
